CATEGORY,RUN_ACCESSION,STATUS,FASTQ_MD5_LIST,FASTQ_URL_LIST
10000_RANDOM_1MB,ERR006644,ACTIVE,"[""950fb949c271ae336b2f7c81187dc8b3""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006644/ERR006644.fastq.gz""]"
10000_RANDOM_1MB,ERR006651,ACTIVE,"[""0aacd32d0f0bdedd057ba59e0e1cabdc""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006651/ERR006651.fastq.gz""]"
10000_RANDOM_1MB,ERR006672,ACTIVE,"[""1ce6dd32d86e2a8824a70482449a4b16""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006672/ERR006672.fastq.gz""]"
10000_RANDOM_1MB,ERR006679,ACTIVE,"[""920e9d5da21c59dec6eb26501411ce73""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006679/ERR006679.fastq.gz""]"
10000_RANDOM_1MB,ERR006768,ACTIVE,"[""9b77f293b618551c2de20121237dcb5a""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006768/ERR006768.fastq.gz""]"
10000_RANDOM_1MB,ERR006841,ACTIVE,"[""572a2a2a47985bff27110c744469d742""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006841/ERR006841.fastq.gz""]"
10000_RANDOM_1MB,ERR006876,ACTIVE,"[""4b463724002f5f03398d50523fe629ca""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006876/ERR006876.fastq.gz""]"
10000_RANDOM_1MB,ERR006877,ACTIVE,"[""2091871ba71f78f1d29c9c3a1fa8d251""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006877/ERR006877.fastq.gz""]"
10000_RANDOM_1MB,ERR006919,ACTIVE,"[""c1b2924571e2e65dbe3fb0ca01713eda""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006919/ERR006919.fastq.gz""]"
10000_RANDOM_1MB,ERR006923,ACTIVE,"[""8bd3d7ad7242c4f51d378ca5b82572a9""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR006/ERR006923/ERR006923.fastq.gz""]"
10000_RANDOM_1MB,ERR007095,ACTIVE,"[""b4328a28388bd24ed257e63a35a4c5bb""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR007/ERR007095/ERR007095.fastq.gz""]"
10000_RANDOM_1MB,ERR007159,ACTIVE,"[""938f52288c5bbe0436edab803376d4e2""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR007/ERR007159/ERR007159.fastq.gz""]"
10000_RANDOM_1MB,ERR007301,ACTIVE,"[""ecdc2f351ca4435f22795faf28f22edb""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR007/ERR007301/ERR007301.fastq.gz""]"
10000_RANDOM_1MB,ERR007311,ACTIVE,"[""deac5de54cd6e249262969784d75452b""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR007/ERR007311/ERR007311.fastq.gz""]"
10000_RANDOM_1MB,ERR007333,ACTIVE,"[""90c41bdcc6b252a2b93fd6a473684dbf""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR007/ERR007333/ERR007333.fastq.gz""]"
10000_RANDOM_1MB,ERR007355,ACTIVE,"[""39d7e96fed79ef463a40e1110b27af41""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR007/ERR007355/ERR007355.fastq.gz""]"
10000_RANDOM_1MB,ERR007358,ACTIVE,"[""7b0590241deb365aea50dc81b093480c""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR007/ERR007358/ERR007358.fastq.gz""]"
10000_RANDOM_1MB,ERR040705,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10007285,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10007290,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR1002671,ACTIVE,"[""f6c9b54ded4282efed24f16efd6edc36""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/001/ERR1002671/ERR1002671.fastq.gz""]"
10000_RANDOM_1MB,ERR10035060,ACTIVE,"[""b59f2c93504caef750137d965923223a"",""ef8989ade18336c097a1d04b16cd36b6""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/060/ERR10035060/ERR10035060_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/060/ERR10035060/ERR10035060_2.fastq.gz""]"
10000_RANDOM_1MB,ERR1006424,ACTIVE,"[""9d749825943df0a98f879a6eac4da340""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/004/ERR1006424/ERR1006424.fastq.gz""]"
10000_RANDOM_1MB,ERR10075473,ACTIVE,"[""fb38d2c2c90730c598cd66d7ca0bd4c0"",""b9989a4932b0f903296ec5bd765262c9""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/073/ERR10075473/ERR10075473_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/073/ERR10075473/ERR10075473_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10081647,ACTIVE,"[""5c77d20599bdd4e0096c1d758af2fcd2"",""c711f439622d3450c9b120d34832af3c""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/047/ERR10081647/ERR10081647_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/047/ERR10081647/ERR10081647_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10084310,ACTIVE,"[""125161701da8dbfe09169183c9afa04e"",""ad228405fa489cdb0062855d533909bb""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/010/ERR10084310/ERR10084310_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/010/ERR10084310/ERR10084310_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10084356,ACTIVE,"[""703c39af27b5e902631f3f22882a33b4"",""6cde2a0877f7d0900a8139bea7307dd9""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/056/ERR10084356/ERR10084356_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/056/ERR10084356/ERR10084356_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10084364,ACTIVE,"[""bf6f36409e3c39c04696d5ed5ef14701"",""4fadbcc38929fe562a7bbd63355bad41""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/064/ERR10084364/ERR10084364_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/064/ERR10084364/ERR10084364_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10093742,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10093784,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094036,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094217,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094221,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094223,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094224,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094228,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094233,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094235,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094243,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094250,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094266,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094270,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094272,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094280,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094283,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094287,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094301,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094304,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094310,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094328,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094375,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094383,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094393,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094395,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094422,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094464,NOT_FOUND,[],[]
10000_RANDOM_1MB,ERR10094748,ACTIVE,"[""4d7a3b301ef45c0a52465a54b18ef1fd"",""b1d3014edc4fe8ee377d6047fc28c883""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/048/ERR10094748/ERR10094748_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/048/ERR10094748/ERR10094748_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10094760,ACTIVE,"[""6ab8116d2b9cac7d69dcb1abaf119e4c"",""9b159ec94a24dc1e57d9f8406f550368""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/060/ERR10094760/ERR10094760_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/060/ERR10094760/ERR10094760_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10094770,ACTIVE,"[""7d268968d5c15b7f3f97abebe09eedda"",""5be938652f84eba17bee57f7754773af""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/070/ERR10094770/ERR10094770_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/070/ERR10094770/ERR10094770_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10107001,ACTIVE,"[""6024c6a48465fd8e589bd35fba47ebc2"",""22e4439b7425880ea808bd940123688f""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR10107001/ERR10107001_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/001/ERR10107001/ERR10107001_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10107011,ACTIVE,"[""e957e592a9058358516577e2f4e32679"",""5a9359290fd60b764fd0e273668a0498"",""61e65313ac2babfe3939cfd98a8893fc""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/011/ERR10107011/ERR10107011.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/011/ERR10107011/ERR10107011_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/011/ERR10107011/ERR10107011_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10107046,ACTIVE,"[""341b774580de9fc00398b18b0f4d07c3"",""71d0215d337c25ec5fa2ebdde179c95e"",""22a1db7e2f03a907027a7d38b56751d1""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/046/ERR10107046/ERR10107046.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/046/ERR10107046/ERR10107046_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/046/ERR10107046/ERR10107046_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10107053,ACTIVE,"[""756a29724e9e1fa2024ee114be1e61cc"",""1b8fa8e1423c89a56ab89513de7da789""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/053/ERR10107053/ERR10107053_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/053/ERR10107053/ERR10107053_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10107755,ACTIVE,"[""77bb6e8a3861d115c7bb1b4bb0dc9da5"",""7680fdcaeb360f04b67372999b9f229a""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/055/ERR10107755/ERR10107755_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/055/ERR10107755/ERR10107755_2.fastq.gz""]"
10000_RANDOM_1MB,ERR1010969,ACTIVE,"[""183e0832764b78fdce186de4b3343314""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/009/ERR1010969/ERR1010969.fastq.gz""]"
10000_RANDOM_1MB,ERR10109791,ACTIVE,"[""1dfe608fcf0f482efde10d0995123015"",""c26d5c2302a511397ed7c5bf385cb3b5""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/091/ERR10109791/ERR10109791_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/091/ERR10109791/ERR10109791_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10110256,ACTIVE,"[""b11aa1e642441822decb22584d30a8d1"",""012795434d34d1f2168364647a79b37e""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/056/ERR10110256/ERR10110256_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/056/ERR10110256/ERR10110256_2.fastq.gz""]"
10000_RANDOM_1MB,ERR10114754,ACTIVE,"[""be750784506c0fd30ea91c2d139ee919"",""4efb8589fe8f936cb38f869bb63322fc""]","[""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/054/ERR10114754/ERR10114754_1.fastq.gz"",""ftp.sra.ebi.ac.uk/vol1/fastq/ERR101/054/ERR10114754/ERR10114754_2.fastq.gz""]"
