type,CATEGORY,RUN_ACCESSION
DUPLICATE_WITHIN_CATEGORY,1000_RANDOM_1MB,ERR9984656
DUPLICATE_WITHIN_CATEGORY,1000_RANDOM_1MB,ERR9984656
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR9983086
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR9811240
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1030437
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR13515639
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR5987606
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1182930
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR500682
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1032925
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR3658604
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR14955967
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR806487
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR2836843
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR9294888
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1926256
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR10627357
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1925976
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1926873
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR4474529
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR14585031
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR15114846
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR6140862
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR11554719
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR4820646
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR2666897
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR3659657
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1918799
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR4018623
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR13514894
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR7616451
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR6719767
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR12404101
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR9984331
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR2575337
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR4820646
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR12353107
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR13098286
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR3063824
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR14127855
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR7131962
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1925098
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR10627357
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR5002903
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR6847384
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR12353107
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1185588
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR10127071
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1032925
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1177073
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR3063824
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1979407
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1985760
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR14978303
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR10317812
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR13889905
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1931063
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR12116389
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1985357
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1182559
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR13504022
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR3976107
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR10940272
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR13586534
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR12116389
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR11599584
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1182559
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1979938
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR11652279
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR13997417
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR11789436
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1925838
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR14925092
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1161963
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR11216438
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR2621395
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR13063913
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1919972
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1919752
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR12252835
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1985760
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR5767901
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1930727
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR10447703
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR13255927
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR12944244
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR14860005
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR2106669
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1984730
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR1924839
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR14127855
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR4018623
DUPLICATE_WITHIN_CATEGORY,10000_RANDOM_1MB,ERR500425
